
Match Number: 0 
time,	robotMode,	leftTank,	rightTank,	yaw,	yAxisAccel,	isMoving,	leftDistance,	rightDistance,	PDP2,	PDP4,	PDP1,	PDP0,	PDP15,	PDP12,	PDP13,	PDP14,	voltage,	PCMCurrent,	PCMInputVolt,	PCMSolenoidVolt,
int,	string,	float,	float,	float,	float,	boolean,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,
Time (ms),	Robot Mode,	Left Tank,	Right Tank,	Yaw,	Y-Axis Acceleration,	Moving?,	Left Distance,	Right Distance,	PWM 0 PDP 2 (L Drive),	PWM 1 PDP 4,	PWM 2 PDP 1 (intake),	PWM 3 PDP 0 (L Drive),	PWM 4 PDP 15 (L Drive),	PWM 5 PDP 12 (R Drive),	PWM 6 PDP 13 (R Drive),	PWM 7 PDP 14 (R Drive),	Voltage,	PCMCurrent,	PCMInputVolt,	PCMSolenoidVolt,
4450,Auto Enable,-0.250,-0.250,0.450,-1.873,TRUE,53.641,57.653,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.550,8.750,10.800,10.469,
4500,Auto Enable,-0.250,-0.250,0.450,-1.873,TRUE,54.167,58.256,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.450,8.750,10.800,10.469,
4550,Auto Enable,-0.250,-0.250,0.450,-1.873,TRUE,54.974,59.140,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.550,8.750,10.800,10.469,
4600,Auto Enable,-0.250,-0.250,0.450,-1.873,TRUE,55.513,59.717,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.550,8.750,10.850,10.500,
4650,Auto Enable,-0.250,-0.250,0.450,-1.873,TRUE,56.320,60.576,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.550,8.750,10.800,10.500,
4700,Auto Enable,-0.250,-0.250,0.450,-1.873,TRUE,56.846,61.152,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.550,8.750,10.800,10.469,
4750,Auto Enable,-0.250,-0.250,0.450,-1.873,TRUE,57.666,62.024,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.550,8.781,10.800,10.469,
4800,Auto Enable,-0.250,-0.250,0.450,-1.873,TRUE,58.217,62.588,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.500,8.750,10.800,10.469,
4850,Auto Enable,-0.250,-0.250,0.450,-1.873,TRUE,59.037,63.459,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.550,8.781,10.800,10.469,
4900,Auto Enable,-0.250,-0.250,0.450,-1.873,TRUE,59.858,64.305,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.550,8.781,10.800,10.500,
4950,Auto Enable,-0.250,-0.250,0.450,-1.873,TRUE,60.422,64.895,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.600,8.781,10.800,10.469,
5000,Auto Enable,-0.250,-0.250,0.450,-1.873,TRUE,61.229,65.754,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.550,8.750,10.800,10.469,
5050,Auto Enable,-0.250,-0.250,0.450,-1.873,TRUE,61.780,66.318,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.500,8.750,10.800,10.469,
